name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Rebellion,0.0144,0.518,0.932,0.884,1,0.112,-7.295,0,0.0377,123.967,0.0663
505,0.00237,0.52,0.852,5.79e-05,0,0.0733,-5.866,1,0.0543,140.267,0.234
Beating Down Yo Block,0.0132,0.765,0.719,0,9,0.116,-4.982,1,0.299,84.997,0.782
Yut Lung,0.218,0.198,0.0539,0.919,2,0.337,-15.814,1,0.0381,78.885,0.144
lost & found,0.529,0.443,0.549,0,1,0.0898,-7.335,1,0.0651,125.755,0.433
I Think It Might Be Hell,0.19,0.691,0.562,1.92e-06,11,0.114,-8.777,1,0.0385,130.032,0.333
Vinyl,0.0604,0.661,0.892,0,1,0.174,-3.83,1,0.112,90.018,0.729
Promiscuous,0.0569,0.808,0.97,6.13e-05,10,0.154,-6.098,0,0.0506,114.328,0.868
Sensitive,0.166,0.601,0.649,3.35e-05,7,0.165,-6.979,1,0.133,89.73,0.351
Cat and Mouse Race,0.384,0.842,0.743,0.837,10,0.0711,-9.634,0,0.0612,132.055,0.224
Chinatown,0.382,0.565,0.58,0.872,1,0.039,-10.826,0,0.08,179.981,0.765
Choppin',0.0182,0.68,0.757,0.745,9,0.0898,-8.074,0,0.11,159.946,0.379
Sexy Villain,0.402,0.766,0.539,0,7,0.104,-4.927,1,0.0479,120.175,0.888
Need to Know,0.304,0.664,0.609,0,1,0.0926,-6.509,1,0.0707,130.041,0.194
Half On a Sack,0.217,0.915,0.622,0,11,0.12,-5.801,0,0.0464,126.983,0.337
HALO,0.000291,0.455,0.888,0,4,0.14,-2.866,1,0.0495,94.031,0.503
Bemused,0.0831,0.7,0.282,0.743,5,0.141,-11.321,0,0.0728,93.008,0.193
Tú,0.627,0.732,0.555,0,5,0.112,-7.973,1,0.0326,114.982,0.73
love nwantiti (ah ah ah),0.365,0.727,0.739,0.00137,8,0.161,-3.805,1,0.0411,93.005,0.533
Pale,0.0454,0.454,0.747,0.00807,9,0.155,-5.859,0,0.0916,119.013,0.106
Bleue,0.695,0.774,0.447,2.21e-05,4,0.126,-10.116,0,0.119,140.013,0.779
Spectrum,0.00289,0.41,0.97,7.12e-06,5,0.101,-3.354,1,0.148,173.085,0.36
Crazy In Love (feat. Jay-Z),0.00238,0.664,0.758,0,2,0.0598,-6.583,0,0.21,99.259,0.701
Golden Liar,0.00133,0.539,0.912,0,3,0.304,-3.581,0,0.141,174.914,0.905
Found God in a Tomato,0.00213,0.238,0.789,0.0212,0,0.349,-6.453,1,0.0404,82.06,0.291
FIXED,0.0984,0.401,0.323,0.23,1,0.427,-11.789,0,0.0389,129.983,0.254
Coffee For Dinner,0.662,0.563,0.608,2.36e-05,1,0.119,-7.204,0,0.0261,96.002,0.432
Need Your Love,0.0363,0.366,0.665,9.32e-05,2,0.1,-5.709,1,0.0397,82.01,0.938
Today's Savages,0.00915,0.611,0.478,0.669,9,0.112,-10.042,1,0.0479,119.965,0.237
Prayer X (Acoustic),0.896,0.453,0.291,6.84e-05,11,0.26,-10.999,1,0.0345,140.693,0.481
McDonald Romance,0.0762,0.636,0.546,0.000102,8,0.0859,-7.688,1,0.0734,84.847,0.433
Late (Lioness),0.546,0.463,0.813,8.31e-05,11,0.104,-4.949,1,0.0524,113.506,0.291
Leaper,1.91e-05,0.655,0.746,0.941,0,0.123,-5.368,1,0.0327,120.02,0.562
FREEDOM,0.000267,0.471,0.929,0,11,0.255,-3.484,0,0.0773,102.057,0.253
Prayer X,0.447,0.488,0.581,0.000655,11,0.233,-7.197,1,0.11,174.062,0.393
Lost,0.0272,0.913,0.603,0.000503,8,0.167,-4.892,1,0.226,123.061,0.497
YASHA,0.792,0.47,0.344,0.721,5,0.147,-10.486,1,0.044,139.521,0.441
Pears,0.534,0.607,0.599,0,5,0.111,-6.481,0,0.0558,82.013,0.192
Tierra,0.525,0.635,0.875,4.38e-06,9,0.135,-5.671,0,0.0409,124.941,0.573
Trailer TypeA,1.68e-05,0.516,0.878,0.615,10,0.122,-5.866,0,0.0339,132.94,0.127
Prayer,0.473,0.573,0.35,0.938,11,0.292,-13.942,0,0.0331,119.012,0.453
Soundgasm,0.119,0.805,0.525,0.00203,6,0.0779,-7.376,0,0.0638,100.033,0.693
RED,0.0165,0.449,0.693,0,5,0.302,-4.592,1,0.0351,107.997,0.423
Opus α,0.991,0.66,0.0403,0.947,2,0.109,-20.293,1,0.0497,80.281,0.0608
Then Leave (feat. Queendom Come),0.0656,0.912,0.568,0.000105,2,0.0521,-6.107,1,0.476,140.968,0.491
New York,0.114,0.797,0.597,0.938,5,0.0661,-9.981,0,0.0489,108.976,0.763
TURN IT UP [Vocal:大橋トリオ],0.00324,0.635,0.826,0.0745,9,0.0555,-6.218,0,0.037,124.989,0.749
Prisoner,0.155,0.33,0.29,0.867,9,0.139,-14.309,0,0.0336,118.669,0.172
Buddy,0.979,0.407,0.144,0.876,10,0.111,-20.122,0,0.0541,103.966,0.387
My Little,0.17,0.329,0.713,0,11,0.508,-6.484,0,0.0397,138.563,0.45
Ojuelegba,0.146,0.644,0.748,0.000346,9,0.203,-5.862,0,0.0349,100.037,0.901
Rose Tint,0.289,0.627,0.747,0,6,0.482,-11.016,0,0.289,156.049,0.554
Obscure,0.265,0.694,0.326,0.828,1,0.209,-8.26,1,0.171,174.177,0.262
灯せ,0.0143,0.351,0.823,0,10,0.255,-3.252,1,0.0818,179.998,0.405
Runner,0.0886,0.531,0.831,0.00266,7,0.106,-6.179,1,0.0412,157.266,0.667
U,0.0437,0.651,0.913,0.00133,9,0.311,-5.667,0,0.0384,120.028,0.736
Ntaba's Birthday Part 2,0.565,0.705,0.78,0.449,3,0.132,-10.282,0,0.0524,113.035,0.954
556 (Green Tip),0.159,0.872,0.278,0,2,0.0552,-11.478,1,0.409,74.996,0.49
Clue Collecting,0.868,0.594,0.272,0.414,7,0.113,-15.027,1,0.269,167.965,0.055
Never Forget You,0.0167,0.569,0.692,3.78e-05,9,0.126,-4.683,1,0.0323,141.632,0.737
Habits,0.86,0.548,0.364,0,5,0.385,-9.465,1,0.0547,116.556,0.506
